,product_category_name,price,freight_value,gmv_value,gmv_share,cum_share
0,beleza_saude,1189780.1199999999,172216.92,1361997.0399999998,0.09232220750095556,0.09232220750095556
1,cama_mesa_banho,1016559.91,200134.15,1216694.06,0.08247292627926717,0.1747951337802227
2,relogios_presentes,1101086.53,97835.62,1198922.15,0.0812682673009273,0.25606340108115
3,esporte_lazer,918532.73,159737.89,1078270.62,0.07308997082829492,0.32915337190944494
4,informatica_acessorios,849817.0700000001,143498.65,993315.7200000001,0.06733135045271545,0.39648472236216037
5,moveis_decoracao,700910.45,164283.77,865194.22,0.05864670624208361,0.455131428604244
6,utilidades_domesticas,597312.98,138568.56,735881.54,0.049881318561457916,0.5050127471657019
7,cool_stuff,594794.79,79880.41,674675.2000000001,0.04573248104133083,0.5507452282070328
8,automotivo,541125.85,87814.04,628939.89,0.04263233863577866,0.5933775668428114
9,brinquedos,463109.2,74364.42,537473.62,0.036432348686991085,0.6298099155298025
10,ferramentas_jardim,434033.06,95637.72,529670.78,0.03590343754223797,0.6657133530720405
11,bebes,377594.76,63856.87,441451.63,0.02992355180632042,0.6956369048783609
12,perfumaria,385315.55,52529.51,437845.06,0.029679082476264666,0.7253159873546257
13,telefonia,301986.9,69164.33,371151.23000000004,0.02515827851600536,0.750474265870631
14,moveis_escritorio,266043.73,64148.14,330191.87,0.02238187120969701,0.7728561370803281
15,papelaria,222876.79,45495.5,268372.29000000004,0.0181914655591958,0.7910476026395239
16,pet_shop,205522.63,38139.14,243661.77000000002,0.016516476783231565,0.8075640794227554
17,eletronicos,148313.35,45384.0,193697.35,0.013129666521951631,0.820693745944707
18,unknown,158847.94,26595.35,185443.29,0.012570169681895843,0.8332639156266028
19,fashion_bolsas_e_acessorios,147567.2,30371.65,177938.85,0.012061485414227779,0.8453254010408306
20,malas_acessorios,137771.83,29330.97,167102.8,0.01132696982630056,0.8566523708671312
21,instrumentos_musicais,150095.25,16542.489999999998,166637.74,0.01129544599433952,0.8679478168614707
22,eletroportateis,150952.33,15069.26,166021.59,0.011253680611243157,0.8792014974727139
23,pcs,156408.35,9202.81,165611.16,0.011225859843273928,0.8904273573159879
24,consoles_games,136982.21,18855.61,155837.82,0.010563379458252394,0.9009907367742402
25,construcao_ferramentas_construcao,128478.5,19416.21,147894.71,0.010024960190011608,0.9110156969642519
26,eletrodomesticos_2,84758.1,9672.24,94430.34000000001,0.006400907775736272,0.9174166047399882
27,casa_construcao,80903.59,13290.74,94194.33,0.006384909969902346,0.9238015147098906
28,eletrodomesticos,75692.48,14155.67,89848.15,0.006090306589709609,0.9298918212996002
29,moveis_sala,67350.7,16272.15,83622.84999999999,0.0056683281114335475,0.9355601494110338
30,agro_industria_e_comercio,61367.77,5426.5,66794.26999999999,0.004527612229476542,0.9400877616405103
31,casa_conforto,58008.450000000004,8412.21,66420.66,0.004502287284611441,0.9445900489251218
32,climatizacao,51265.27,6326.39,57591.659999999996,0.0039038184582577966,0.9484938673833796
33,audio,50413.61,5658.68,56072.29,0.0038008288126923947,0.952294696196072
34,moveis_cozinha_area_de_servico_jantar_e_jardim,44992.08,10310.45,55302.53,0.0037486510616703108,0.9560433472577423
35,livros_interesse_geral,45302.15,8793.59,54095.740000000005,0.003666849476558145,0.9597101967343005
36,construcao_ferramentas_iluminacao,39478.0,7395.7,46873.7,0.0031773075349249957,0.9628875042692254
37,telefonia_fixa,41028.340000000004,4431.76,45460.100000000006,0.003081487449645405,0.9659689917188709
38,industria_comercio_e_negocios,34599.32,7141.84,41741.16,0.0028294011819956577,0.9687983929008666
39,portateis_casa_forno_e_cafe,36372.56,2612.13,38984.689999999995,0.0026425554049224857,0.9714409483057891
40,construcao_ferramentas_seguranca,34058.52,3730.8,37789.32,0.0025615279181223556,0.9740024762239115
41,alimentos,28651.25,7047.2,35698.45,0.002419799464734877,0.9764222756886464
42,market_place,25806.48,5028.9,30835.379999999997,0.002090158985023062,0.9785124346736694
43,construcao_ferramentas_jardim,24636.38,5144.75,29781.13,0.0020186972384851386,0.9805311319121546
44,fashion_calcados,22971.47,4802.41,27773.88,0.0018826369200234385,0.982413768832178
45,bebidas,21529.84,5441.27,26971.11,0.0018282216046160407,0.9842419904367941
46,sinalizacao_e_seguranca,21315.05,4997.65,26312.699999999997,0.0017835916510585026,0.9860255820878525
47,moveis_quarto,19051.8,4204.92,23256.72,0.001576443756171176,0.9876020258440237
48,livros_tecnicos,18702.23,4198.84,22901.07,0.0015523362198598526,0.9891543620638835
49,artes,18048.3,3685.09,21733.39,0.001473185684220865,0.9906275477481044
50,alimentos_bebidas,14942.88,4394.89,19337.77,0.0013107999225503116,0.9919383476706547
51,construcao_ferramentas_ferramentas,14476.95,2030.22,16507.170000000002,0.0011189292848929752,0.9930572769555477
52,fashion_roupa_masculina,10427.43,2051.66,12479.09,0.000845888135265771,0.9939031650908134
53,artigos_de_natal,8737.84,3190.91,11928.75,0.0008085836462075011,0.994711748737021
54,fashion_underwear_e_moda_praia,9305.95,1854.07,11160.02,0.0007564757131592696,0.9954682244501802
55,tablets_impressao_imagem,7528.41,1226.2,8754.61,0.0005934263418149137,0.9960616507919952
56,cine_foto,6674.47,1227.71,7902.18,0.0005356448510856537,0.9965972956430809
57,musica,5758.38,690.51,6448.89,0.0004371344013573168,0.9970344300444381
58,moveis_colchao_e_estofado,4323.38,1581.37,5904.75,0.00040025017583097494,0.9974346802202692
59,artigos_de_festas,4465.1900000000005,820.19,5285.380000000001,0.000358266526835771,0.997792946747105
60,dvds_blu_ray,4012.59,1227.25,5239.84,0.0003551796234093189,0.9981481263705143
61,livros_importados,4418.86,732.08,5150.94,0.000349153586636996,0.9984972799571513
62,portateis_cozinha_e_preparadores_de_alimentos,3546.63,294.42,3841.05,0.00026036342569551064,0.9987576433828468
63,fashion_roupa_feminina,2580.04,568.77,3148.81,0.00021344032451133956,0.9989710837073581
64,fashion_esporte,2094.52,539.08,2633.6,0.00017851710285252646,0.9991496008102106
65,la_cuisine,2054.99,333.55,2388.54,0.00016190584783086785,0.9993115066580415
66,artes_e_artesanato,1814.01,370.13,2184.14,0.0001480507081653695,0.9994595573662068
67,fraldas_higiene,1365.8899999999999,529.31,1895.1999999999998,0.00012846507188871056,0.9995880224380955
68,flores,1110.04,488.87,1598.9099999999999,0.000108381219973395,0.9996964036580689
69,pc_gamer,1306.95,123.15,1430.1000000000001,9.693852855004485e-05,0.999793342186619
70,casa_conforto_2,760.27,410.31,1170.58,7.934711051682503e-05,0.9998726892971358
71,cds_dvds_musicais,730.0,224.98999999999998,954.99,6.473346296063724e-05,0.9999374227600965
72,fashion_roupa_infanto_juvenil,519.95,78.72,598.6700000000001,4.058051107408947e-05,0.9999780032711706
73,seguros_e_servicos,283.28999999999996,41.22,324.51,2.199672882999444e-05,1.0000000000000007
