order_id,bucket,original,translated
b3729cd1670144c7b451137853e3f46a,0-7天,"Comprei dois sapatinhos para cães e recebi apenas um. Porém, a nota fiscal foi emitida com os dois itens. ",我买了两只狗鞋，但只收到一只。然而，发票是与这两个项目一起开具的。
4863e15fa53273cc7219c58f5ffda4fb,>30天,"Comprei dois produtos e ambos, mesmo enviados em dias diferentes, estão como em ""dificuldade na entrega"" segundo o rastreamento dos Correios. O que nunca me aconteceu antes.",我购买了两种产品，尽管它们是在不同的日期发送的，但根据邮局的跟踪，它们都遇到了“递送困难”。这以前从未发生在我身上。
56301ae69daec31f44fa405fc3a09518,15-30天,"A entrega foi demorada mas dentro do prazo.
Mas a mochila não é o eu esperava,por ser de marca eu achei muito simples , não gostei nem um pouco do produto.","交货缓慢但准时。
但背包不是我所期望的，因为它是一个品牌，我觉得它很简单，我根本不喜欢这个产品。"
553e31affcb8c69f75f7fa6d7978be44,8-14天,"O produto é bom, mas a lannister deve estar fazendo uma promoção às avessas, pois paguei 2 mas recebi só 1, já fiz a reclamação no site mas até agora nada!",产品不错，但兰尼斯特一定是在搞反向促销，因为我付了2件却只收到1件，我已经在网站上投诉了，但到目前为止还没有什么结果！
3e8ef04f228ea2e33b19ff30e0e61f38,0-7天,"Recebi apenas um produto.
O outro não .","我只收到一种产品。
另一个则不然。"
1ecad0e8ea57760ebd5ea7863ec48b06,0-7天,"Recomendaria a lojas americas, mas não os terceiros.",我会推荐 Lojas Américas，但不推荐第三方。
3989f05b20a0a54e3378e44248c02bde,8-14天,Tenho uma observação à fazer. A seladora veio com um dos parafusos quebrado.,我有一个观察要说。密封件来时其中一颗螺丝已损坏。
42ee4f991900767ba353278c7c4f4df3,0-7天,"O produto enviado é diferente do produto comprado, solicito a troca do produto.",发送的产品与购买的产品不同，我要求更换产品。
4888d985060eb4760da7373673343df2,15-30天,comprei o produto há tempos e ainda não recebi. muito demorado. ,我不久前购买了该产品，但仍未收到。非常耗时。
bdc6d13db4338777a27724c65a0248c6,>30天,"O produto era pra ser entregue dia 19/02. E até agora não tive nenhuma satisfação sobre o produto, ou sobre a entrega. Acho uma falta de respeito com o cliente.",该产品原定于 2019 年 2 月交付。到目前为止，我对产品或交付还不满意。我认为这是对顾客的不尊重。
122d77201f2281c9420f54d73240b310,0-7天,O produto entregue é diferente do produto anunciado. Quero meu dinheiro de vta. Quero fazer a devolucao do item,交付的产品与广告产品不同。我想要回我的钱。我想退货
3788099435cbdafabe329e9228e70588,8-14天,Uma das prateleiras estava torta,其中一个架子歪了
d23fbf0412fd632a83af7dbd5cb2e948,8-14天,"Ainda dentro do prazo q me foi dado.
No aguardo ","仍在给我的期限内。
我等不及了"
d4d140e1cbc20856440a8343432848c4,>30天,Ainda não recebi minha compra. Já passou do prazo previsto! ,我还没有收到我购买的东西。已经过了预计的截止日期了！
bb5ab09b0b5c111c6355e7c17d7bd186,8-14天,demora na entrega . ,延迟交货。
1006246e3feed80b0a2f83d8364240f7,8-14天,"Gosto de comprar no site ,mas não estou satisfeita pois solicitei a troca da mercadoria mas até agora não me enviaram o codico para troca,ei prazo já está quase esgotado ",我喜欢在网站上购物，但我不满意，因为我要求换货，但到目前为止他们还没有给我发送换货代码，哎，截止日期快到了。
d8097587799efe19a24233909b0513c4,8-14天,"Comprei por um produto, veio outro. Agora não consigo contato com a loja",我买了一种产品，但又来了另一种产品。现在联系不上店家
5b30d3d26fa80138cf0eeaedf8a3a1a5,0-7天,"Solicitei 5 frascos e foi entregue apenas 1 frasco
Feita a reclamação por telefone e ficaram de enviar","我订了5瓶，只送了一瓶
通过电话投诉，他们停止发送"
32d7800197408f1dc16884bf75997754,0-7天,Nao recebi o produto! ,我没有收到产品！
6679904ebe40b42a197e435621f35ce7,15-30天,Recebi somente 02 pneus,我只收到 2 个轮胎
e04d2191af862183e0ebda80377a6a32,0-7天,"Idêntico ao da foto, porém muito pequeno o visor, se atentar as descrições do produto ! Produto entregue no prazo, corretamente !",与照片相同，但显示屏很小，如果您注意产品说明！产品准时、正确交付！
8bef8b88b9465aa96b8b93eff0525da0,8-14天,O PROTUDO VEIO ERRADO .,产品出错了。
46bdd39417baa706de4e1931fb95b4dd,15-30天,Não sei como nos dias atuais ainda existem lojas assim. O prazo de entrega já é muito extenso. E o maior problema de todos: o item não foi entregue!,不知道今天怎么还有这样的店。交货时间已经很长了。最大的问题是：物品未送达！
3ffafbfb2ed55aa2246ffb6886b28d7a,8-14天,Não entregaram o produto comprado ,他们没有交付购买的产品
f060da7770c69e820eb3a1765915c4b2,15-30天,O produto foi entregue no prazo mas eles não atualizam o rastreamento. Constava que estava no mesmo lugar durante dias e os correios sequer sabiam dizer qdo poderia ser entregue.,产品按时交付，但他们没有更新跟踪。据说它已经在同一个地方呆了好几天了，邮局甚至不知道什么时候可以送达。
52a96c4082dfe660d01acfdc740c4f61,15-30天,"O produto veio somente na caixa de envio, embalado no saco bolha, com aspecto de produto usado. ",该产品仅装在运输箱中，装在气泡袋中，看起来像二手产品。
b6508cc635e024a2db73451e22649413,0-7天,Eles fizeram a minha mãe assinar uma NF de duas unidades e foi entregue somente uma.,他们让我母亲签署了两套的发票，但只交付了一套。
ec002084195fcce7185eab399b71ee73,8-14天,Extremamente insatisfeito com a compra! Caixa chegou violada com uma fita adesiva! Produto faltando pecas! E com marcas de usao! Experiência desagradavel! Infelizmente não compro mais nada com vocês!,购买后非常不满意！到达时盒子被胶带损坏！产品缺件！并且有使用痕迹！不愉快的经历！不幸的是我不会再从你那里买任何东西了！
77265921b538b8258ca73fd168e46ab2,15-30天,"O produto fala que é felpudo e com mais de 4 cm e não é oque se fala e demorou entrega
",产品说是毛绒的，长度超过4厘米，但实际情况并非如此，而且交货时间很长
